,HHI,Top5Share,N_eff
2009-02-28,0.09895678020501211,0.6209229334560484,10.105421760169097
2009-03-31,0.08408518088209484,0.5274064775532161,11.892702013714057
2009-04-30,0.10460964015068384,0.6242962045127116,9.559348436334936
2009-05-31,0.09793745518458004,0.5807253936270381,10.210598163035046
2009-06-30,0.09656832910676648,0.5948455011454721,10.35536194164025
2009-07-31,0.11132086525309991,0.6944336776087532,8.983041927731993
2009-08-31,0.12000473736304397,0.7155604857553186,8.333004362775721
2009-09-30,0.1032231261888701,0.6196392243439925,9.68775154290787
2009-10-31,0.10947012158587073,0.6617739768570536,9.134912663959895
2009-11-30,0.11324220161501886,0.6721282932633432,8.8306301514662
2009-12-31,0.11288948526594565,0.6972563530409741,8.858220919726888
2010-01-31,0.11495847876774208,0.6532859144825908,8.698792909571843
