,MAX_SHARPE_NET,SPY
2006-12-31,3651230.9476797646,1364581.2356850929
2007-01-31,3800577.8211488905,1385105.1891862547
2007-02-28,4055260.291441849,1357932.8711671701
2007-03-31,4122912.8442560565,1373670.0022154273
2007-04-30,4280637.795513677,1434517.975898924
2007-05-31,4344671.573163852,1483176.9347598422
2007-06-30,4414693.229581658,1461491.3108110921
2007-07-31,4425482.12531558,1415731.745821016
2007-08-31,4360837.050973341,1433899.506461596
2007-09-30,4522419.779560112,1489411.8427384722
2007-10-31,5082113.318643592,1509618.0886248292
2007-11-30,4977675.484834089,1451147.1001850825
2007-12-31,4927043.075458074,1434806.470215378
2008-01-31,4717419.445800361,1348056.0733147739
2008-02-29,4457083.959752947,1313219.267012353
2008-03-31,4447581.660190223,1301475.7289991463
2008-04-30,4638808.4887607815,1363507.517018305
2008-05-31,4754759.843054797,1384118.9024906876
2008-06-30,4549207.71932589,1268439.9589267254
2008-07-31,4297131.019558835,1257041.782397937
2008-08-31,4276430.48467125,1276467.5861820881
2008-09-30,3770586.2997244466,1156258.1902496812
2008-10-31,3195998.1057306197,965259.878279309
2008-11-30,2937454.0330941947,898071.4752726057
2008-12-31,2939481.9546832186,906868.8365528426
2009-01-31,2794510.6620759363,832402.1637801462
2009-02-28,2578051.6134567447,742961.4924024107
2009-03-31,2734169.0650720405,804858.0259690623
2009-04-30,2804739.075425069,884817.4745841699
2009-05-31,2852397.0212139343,936538.3197903872
2009-06-30,2885070.730777212,935925.0484488512
2009-07-31,3037965.2094182298,1005750.2375269866
2009-08-31,3055410.343477961,1042902.1717332328
2009-09-30,3220972.14737059,1079880.1776542796
2009-10-31,3189777.430276572,1059119.6068326675
2009-11-30,3452669.92329644,1124368.9121851365
2009-12-31,3569742.862006272,1145845.0528734701
2010-01-31,3576028.69726169,1104202.4837125456
2010-02-28,3680466.3959502224,1138647.2496303364
2010-03-31,3853879.4841380506,1207967.9115309035
2010-04-30,4074957.2616314655,1226655.5857125958
2010-05-31,3766552.4355724882,1129191.9133847526
2010-06-30,3650480.6499651894,1070766.3563022276
2010-07-31,3724121.0123369205,1143900.8610853595
2010-08-31,3630613.048859585,1092447.405926681
2010-09-30,3879195.3281129925,1190281.3905987437
2010-10-31,4190164.6276687854,1235752.4612723659
